"수행기관","구군명","사업구분","사업명","사업주요활동내용","사업시작일","사업종료일","인원(명)","전화번호","데이터기준일자"
"거제종합사회복지관","부산광역시 연제구","공익","복지시설지원사업","복지시설지원사업","2021-01-04","2021-12-31","16","051-507-8174","2021-01-12"
"거제종합사회복지관","부산광역시 연제구","시장","실버카페 보나뻬띠","실버카페 보나뻬띠","2021-01-04","2021-12-31","10","051-507-8174","2021-01-12"
"(사)대한노인회수영구지회","부산광역시 수영구","공익형","지하철안전지킴이 포함 10개","노인일자리 및 사회활동지원사업","2021-01-01","2021-12-31","640","051-622-7683","2021-01-20"
"수영구노인복지관","부산광역시 수영구","공익형","도서관 사서도우미 포함 7개","노인일자리 및 사회활동지원사업","2021-01-01","2021-12-31","290","051-759-6070","2021-01-20"
"홀트수영종합사회복지관","부산광역시 수영구","공익형","1-3세대 강사파견 포함 5개","노인일자리 및 사회활동지원사업","2021-01-01","2021-12-31","170","051-760-3600","2021-01-20"
"수영구시니어클럽","부산광역시 수영구","공익형, 시장형, 사회서비스형","갈맷길이야기 포함 28개","노인일자리 및 사회활동지원사업","2021-01-01","2021-12-31","1437","051-625-1262","2021-01-20"
"(사)해누리노인복지공동체","부산광역시 수영구","공익형","근린생활시설관리 포함 6개","노인일자리 및 사회활동지원사업","2021-01-01","2021-12-31","318","051-751-4322","2021-01-20"
"대한노인회부산서구지회","부산광역시 서구","공익활동형","전통시장고객쉼터관리","서구 전통시장 내 고객쉼터 관리 및 공중화장실 청결관리","2021-01-18","2021-11-30","35","051-256-0734","2020-12-31"
"대한노인회부산서구지회","부산광역시 서구","공익활동형","노인복지시설청결및수칙계도지원","경로당 내 환경정비 및 코로나19 관련 방역수칙 지도 및 관리","2021-01-18","2021-11-30","57","051-256-0734","2020-12-31"
"대한노인회부산서구지회","부산광역시 서구","공익활동형","지역형(기타)-금연홍보단","서구 보건소와 연계하여 금연홍보 활동","2021-01-18","2021-11-30","8","051-256-0734","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","사회서비스형","시니어 마을안전지킴이","지역내 취약지역 순찰활동","2021-02-01","2021-11-30","12","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","사회서비스형","시니어 가정서비스지원","한부모가정, 다문화가정, 건강가정지원센터 지원","2021-02-01","2021-11-30","12","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","사회서비스형","시니어 금융업무 지원","관내 새마을금고 파견 업무지원","2021-02-01","2021-11-30","4","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","사회서비스형","시니어교육시설지원","초등돌봄교실 교사 업무지원","2021-02-01","2021-11-30","16","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","사회서비스형","시니어 노인시설지원","노인요양시설 지원","2021-02-01","2021-11-30","8","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","사회서비스형","시니어 안전예방서비스","공공시설 및 유치원시설 안전관리","2021-02-01","2021-11-30","28","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","사회서비스형","시니어 장애인시설지원","장애인시설 환경관리 및 급식업무지원","2021-02-01","2021-11-30","16","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","사회서비스형","시니어 소방안전","소방안전 취약계층 소화기 및 화재경보기 설치","2021-02-01","2021-11-30","10","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","사회서비스형","시니어 북딜리버리","구덕도서관 업무지원(도서반납서비스 지원)","2021-02-01","2021-11-30","4","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","시장형","행복한작업장","공동작업장","2021-01-18","2021-12-31","60","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","시장형","그랑","국수, 어묵등 제조판매","2021-01-18","2021-12-31","25","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","시장형","느린가게","두부과자, 음료등 제조판매","2021-01-18","2021-12-31","25","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","시장형","숨쉬는나무공방숲","공방운영사업","2021-01-18","2021-12-31","30","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","시장형","전통다원 여여","전통음료 제조판매","2021-01-18","2021-12-31","25","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","시장형","학교환경지킴이","서부교육지원청 지정 학교 파견되어 교내 수목정비 및 환경정비","2021-01-18","2021-12-31","35","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","시장형","담소락","서부교육지원청 급식 제공","2021-01-18","2021-12-31","20","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","시장형","연잎 도시락 사업단","연잎밥 도시락 및 장아찌류 제조판매 사업","2021-01-18","2021-12-31","31","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","사회서비스형","시니어 다함께돌봄","다함께돌봄센터 업무지원","2021-02-01","2021-11-30","8","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","사회서비스형","시니어 청소년 시설지원","관내 청소년시설 업무지원","2021-02-01","2021-11-30","19","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","학교급식지킴이","초등학교 급식 도우미","2021-01-18","2021-11-30","88","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","우리마을가꾸미","관내 불법광고물 제거, 공공 화단관리","2021-01-18","2021-11-30","120","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","복지시설청결및수칙계도지원","복지시설 방역서비스","2021-01-18","2021-11-30","50","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","시니어공공서비스지원","노인요양시설 환경정비, 대신공원 환경정비","2021-01-18","2021-11-30","170","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","공영주차장 환경관리","서구관내 공영주차장 환경정비","2021-01-18","2021-11-30","50","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","도시철도안전도우미","도시철도 내 승객안전관리 및 안전사고예방활동","2021-01-18","2021-11-30","100","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","시니어 도슨트","민주공원 내 전시해설, 주변 자연해설","2021-01-18","2021-11-30","31","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","스쿨존안전지킴이","관내 서비스 요청 교육시설의 등교시간 교통안전지도","2021-01-18","2021-11-30","182","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","원도심흔적기행","서구 관내 투어 및 각종 체험 등을 제공하는  “실버여행가이드” 양성","2021-01-18","2021-11-30","27","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","시니어 생활기동대","서구관내 우범지대 순찰","2021-01-18","2021-11-30","70","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","숲생태해설","지역 내 자연탐구활동 및 숲생태해설서비스를 희망하는 단체 서비스 제공","2021-01-18","2021-11-30","50","051-244-6700","2020-12-31"
"부산서구시니어클럽","부산광역시 서구","공익활동형","고독사예방네트워크사업","관내 독거가구 방문 안부확인 및 생활안전점검","2021-01-18","2021-11-30","100","051-244-6700","2020-12-31"
"부산기독교종합사회복지관","부산광역시 서구","공익활동","노노케어도시락(행복식탁)","취약계층 가정 방문 도시락 및 밑반찬 배달","2021-01-18","2021-11-30","40","051-710-9406","2020-12-31"
"부산기독교종합사회복지관","부산광역시 서구","공익활동","사회복지시설도우미","사회복지시설 환경정비, 시설내 급식실 주방보조","2021-01-18","2021-11-30","36","051-710-9406","2020-12-31"
"부산기독교종합사회복지관","부산광역시 서구","공익활동","보육시설도우미","어린이집 시설 환경정비 및 급식 보조","2021-01-18","2021-11-30","40","051-710-9406","2020-12-31"
"부산기독교종합사회복지관","부산광역시 서구","공익활동","노노케어","독거노인등 취약노인가정 방문 안부확인, 말벗, 생활안전점검","2021-01-18","2021-11-30","40","051-710-9406","2020-12-31"
"서구종합사회복지관","부산광역시 서구","공익활동형","노노케어-도시락배달서비스","취약계층 가정 방문 도시락 및 밑반찬 배달","2021-01-18","2021-11-30","25","051-253-1922","2020-12-31"
"서구종합사회복지관","부산광역시 서구","공익활동형","사회복지시설도우미","사회복지시설 환경정비, 시설내 급식실 주방보조활동","2021-01-18","2021-11-30","35","051-253-1922","2020-12-31"
"서구종합사회복지관","부산광역시 서구","공익활동형","버스승강장청결도우미","버스승강장 주변 환경정비","2021-01-18","2021-11-30","50","051-253-1922","2020-12-31"
"서구종합사회복지관","부산광역시 서구","공익활동형","노노케어-은빛돌봄이","독거노인등 취약노인가정 방문 안부확인, 말벗, 생활안전점검","2021-01-18","2021-11-30","44","051-253-1922","2020-12-31"
"서구종합사회복지관","부산광역시 서구","사회서비스형","노인맞춤돌봄서비스 업무보조","맞춤돌봄 생활지원사 업무보조","2021-02-01","2021-11-30","14","051-253-1922","2020-12-31"
"부산광역시 서구청","부산광역시 서구","공익활동형","구덕문화공원 해설사업","구덕문화공원 시설환경정비 및 내방객 시설 안내","2021-01-18","2021-11-30","36","051-240-4375","2020-12-31"
"부산광역시 서구청","부산광역시 서구","공익활동형","실버환경지킴이","서구관내 각동 환경정비 (하절기 송도해수욕장 환경정비)","2021-01-18","2021-11-30","150","051-240-4375","2020-12-31"
"서구노인복지관","부산광역시 서구","공익활동형","우정(友情)서포터즈(우체국행정업무)","우체국 민원안내 업무지원","2021-01-18","2021-11-30","12","051-244-3541","2020-12-31"
"서구노인복지관","부산광역시 서구","공익활동형","실버안전특공대","남부민동 및 암남동 권역 재개발 지구 및 우범지역 순찰활동","2021-01-18","2021-11-30","43","051-244-3541","2020-12-31"
"서구노인복지관","부산광역시 서구","공익활동형","실버바다사랑","송도해수욕장 환경정비","2021-01-18","2021-11-30","48","051-244-3541","2020-12-31"
"서구노인복지관","부산광역시 서구","공익활동형","노노케어","독거노인등 취약노인가정 방문 안부확인, 말벗, 생활안전점검","2021-01-18","2021-11-30","22","051-244-3541","2020-12-31"
"서구노인복지관","부산광역시 서구","공익활동형","퍼팩트실버","사회복지시설 업무지원","2021-01-18","2021-11-30","18","051-244-3541","2020-12-31"
"서구노인복지관","부산광역시 서구","공익활동형","희망배달서비스","취약계층 가정 방문 도시락 및 밑반찬 배달","2021-01-18","2021-11-30","11","051-244-3541","2020-12-31"
"서구노인복지관","부산광역시 서구","사회서비스형","공공행정지원업무(시니어헬퍼)","서부산세무서 민원안내 업무지원","2021-02-01","2021-11-30","6","051-244-3541","2020-12-31"
"서구노인복지관","부산광역시 서구","사회서비스형","노인맞춤돌봄서비스업무보조(행복돌봄사업단)","맞춤돌봄 생활지원사 업무보조","2021-02-01","2021-11-30","23","051-244-3541","2020-12-31"
"부민노인복지관","부산광역시 서구","공익활동형","시니어 방역단","복지관 이용객 및 방문객 대상 발열체크 및 시설 방역활동","2021-01-18","2021-11-30","22","051-243-3541","2020-12-31"
"부민노인복지관","부산광역시 서구","공익활동형","주차구역지도단","초등학교 주변 불법주정차관리 및 주차질서 지도","2021-01-18","2021-11-30","24","051-243-3541","2020-12-31"
"부민노인복지관","부산광역시 서구","공익활동형","사회복지시설도우미","사회복지시설 환경정비, 시설내 급식실 배식보조활동, 취약계층 밑반찬 배달","2021-01-18","2021-11-30","50","051-243-3541","2020-12-31"
"부민노인복지관","부산광역시 서구","공익활동형","노노케어","독거노인등 취약노인가정 방문 안부확인, 말벗, 생활안전점검","2021-01-18","2021-11-30","60","051-243-3541","2020-12-31"
"대한노인회부산서구지회","부산광역시 서구","공익활동형","노인복지시설방역사업","파견요청 경로당 시설 내.외부 소독 및 방역활동","2021-01-18","2021-11-30","57","051-256-0734","2020-12-31"
"사하구종합사회복지관","부산광역시 사하구","공익형","지역사회환경개선봉사사업 외 3개 사업","공익증진을 위한 봉사활동","2020-01-20","2020-11-30","295","051-293-2688","2020-07-31"
"사하사랑채노인복지관","부산광역시 사하구","공익형","숲 체험단사업 외 7개 사업","공익증진을 위한 봉사활동","2020-01-20","2020-11-30","675","051-293-9544","2020-07-31"
"인창노인복지센터","부산광역시 사하구","공익형","반짝반짝작은도서관사업 외 4개 사업","공익증진을 위한 봉사활동","2020-01-20","2020-11-30","510","051-204-3472","2020-07-31"
"신장림사랑채노인복지관","부산광역시 사하구","공익형","공공의료 및 복지시설 봉사 외 2개 사업","공익증진을 위한 봉사활동","2020-01-20","2020-11-30","320","051-204-3473","2020-07-31"
"대한노인회 사하구지회","부산광역시 사하구","공익형","공공시설관리지원사업 외 1개 사업","공익증진을 위한 봉사활동","2020-01-20","2020-11-30","201","051-202-0513","2020-07-31"
"구평종합사회복지관","부산광역시 사하구","공익형","버스승강장청결지킴이사업 외 5개 사업","공익증진을 위한 봉사활동","2020-01-20","2020-11-30","380","051-263-3045","2020-07-31"
"다대사회복지관","부산광역시 사하구","공익형","근린생활시설관리지원사업 외 6개 사업","공익증진을 위한 봉사활동","2020-01-20","2020-11-30","550","051-264-5420","2020-07-31"
"부산사하시니어클럽","부산광역시 사하구","공익형, 시장형","학교급식도우미사업 외 11개 사업","노인일자리","2020-01-20","2020-11-30","1,144","051-206-9474","2020-07-31"
"백양종합사회복지관","부산광역시 사상구","공익활동","노노케어(12개월)","독거노인 안부확인","2021-01-01","2021-11-31","64","051-305-4286","2020-12-31"
"백양종합사회복지관","부산광역시 사상구","공익활동","노노케어(9개월)","독거노인 안부확인","2021-01-01","2021-11-31","35","051-305-4286","2020-12-31"
"백양종합사회복지관","부산광역시 사상구","공익활동","교육강사","어린이집 및 지역아동센터 파견","2021-01-01","2021-11-31","14","051-305-4286","2020-12-31"
"백양종합사회복지관","부산광역시 사상구","공익활동","토이클리너","대여장남감 세척","2021-01-01","2021-11-31","87","051-305-4286","2020-12-31"
"백양종합사회복지관","부산광역시 사상구","공익활동","사서도우미","관내 공공도서관 업무지원","2021-01-01","2021-11-31","30","051-305-4286","2020-12-31"
"백양종합사회복지관","부산광역시 사상구","공익활동","지역환경개선사업","관내 환경정비 사업","2021-01-01","2021-11-31","71","051-305-4286","2020-12-31"
"백양종합사회복지관","부산광역시 사상구","공익활동","알리미홍보단","복지시설 홍보지원","2021-01-01","2021-11-31","15","051-305-4286","2020-12-31"
"학장종합사회복지관","부산광역시 사상구","공익활동","노노케어","독거노인 안부확인","2021-01-01","2021-11-31","10","051-311-4017","2020-12-31"
"학장종합사회복지관","부산광역시 사상구","공익활동","지역환경개선사업","관내 환경정비 사업","2021-01-01","2021-11-31","186","051-311-4017","2020-12-31"
"학장종합사회복지관","부산광역시 사상구","공익활동","복지시설파견","복지시설 업무지원","2021-01-01","2021-11-31","64","051-311-4017","2020-12-31"
"사상시니어클럽","부산광역시 사상구","시장형","엄궁포장지원사업단","포장용품 제조","2021-01-01","2021-11-31","30","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","사회서비스형","지역사회취약시설지원사업","시설지원사업","2021-01-01","2021-11-31","4","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","사회서비스형","지역사회장애인시설지원사업","장애인 관련시설 지원","2021-01-01","2021-11-31","12","051-302-2211","2020-12-31"
"사상시니어클럽","부산광역시 사상구","사회서비스형","지역사회노인보호시설지원사업","노인 관련 시설 지원","2021-01-01","2021-11-31","35","051-302-2212","2020-12-31"
"사상시니어클럽","부산광역시 사상구","사회서비스형","(부울경)소방안전지원사업","시니어 안전 모니터링","2021-01-01","2021-11-31","10","051-302-2213","2020-12-31"
"사상시니어클럽","부산광역시 사상구","사회서비스형","노인맞춤돌봄서비스지원사업","노인맞춤돌봄서비스 지원","2021-01-01","2021-11-31","6","051-302-2214","2020-12-31"
"사상시니어클럽","부산광역시 사상구","사회서비스형","지역사회청소년시설지원사업","청소년 시설 지원","2021-01-01","2021-11-31","8","051-302-2215","2020-12-31"
"사상시니어클럽","부산광역시 사상구","사회서비스형","온종일돌봄시설지원사업","지역아동센터 지원","2021-01-01","2021-11-31","6","051-302-2217","2020-12-31"
"사상구노인복지관","부산광역시 사상구","공익활동","시니어방역사업단","지역내공원 방역활동","2021-01-01","2021-11-31","20","051-325-7555","2020-12-31"
"사상구노인복지관","부산광역시 사상구","공익활동","실버순찰대사업","취약지역 순찰 업무","2021-01-01","2021-11-31","40","051-325-7555","2020-12-31"
"사상구노인복지관","부산광역시 사상구","공익활동","공원관리사업","관내 환경정비 사업","2021-01-01","2021-11-31","42","051-325-7555","2020-12-31"
"사상구노인복지관","부산광역시 사상구","공익활동","공공시설관리지원사업","관내시설환경정비","2021-01-01","2021-11-31","56","051-325-7555","2020-12-31"
"사상구노인복지관","부산광역시 사상구","공익활동","보육교사도우미","어린이집 업무지원","2021-01-01","2021-11-31","120","051-325-7555","2020-12-31"
"사상구노인복지관","부산광역시 사상구","공익활동","유치원도우미사업","유치원업무지원","2021-01-01","2021-11-31","66","051-325-7555","2020-12-31"
"사상구노인복지관","부산광역시 사상구","공익활동","환경지킴이사업","환경정비사업","2021-01-01","2021-11-31","74","051-325-7555","2020-12-31"
"사상구노인복지관","부산광역시 사상구","공익활동","고독사예방사업단","독거노인 안부확인","2021-01-01","2021-11-31","4","051-325-7555","2020-12-31"
"사상구노인복지관","부산광역시 사상구","공익활동","교육시설관리지원","교육시설환경정비등","2021-01-01","2021-11-31","164","051-325-7555","2020-12-31"
"사상구노인복지관","부산광역시 사상구","사회서비스형","어린이집파견단","어린이집 업무지원","2021-01-01","2021-11-31","70","051-325-7555","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","생활시설이용지원사업","윤금요양원 및 대한노인회 환경정비지원","2021-01-01","2021-11-31","40","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","청소년보호지원사업","청소년종합지원센터 환경정비 지원","2021-01-01","2021-11-31","10","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","고독사지원사업","중장년층 고독사 예방","2021-01-01","2021-11-31","16","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","공공시설봉사사업","감전야생화단지 정비사업 지원","2021-01-01","2021-11-31","153","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","공공의료 및 복지시설 지원사업","대한노인회 및 노인요양시설 환경정비지원","2021-01-01","2021-11-31","65","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","문화재시설봉사사업","문화재 시설(운수사) 환경정비 지원","2021-01-01","2021-11-31","20","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","게시판환경지원사업","게시판 환경정비","2021-01-01","2021-11-31","88","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","공공체육시설봉사사업","공공체육시설 환경정비","2021-01-01","2021-11-31","70","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","도시농업지원사업","화단 등 정비","2021-01-01","2021-11-31","20","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","버스승강장관리지원사업","버스승강장 관리","2021-01-01","2021-11-31","85","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","우리동네지킴이사업","우리동네 환경 및 안전관리","2021-01-01","2021-11-31","60","051-302-2213","2020-12-31"
"사상시니어클럽","부산광역시 사상구","시장형","공동포장사업","포장용품 제조","2021-01-01","2021-11-31","40","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","시장형","모아모아 재활용사업","재활용사업","2021-01-01","2021-11-31","35","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","사회서비스형","마을안전지킴이","우범지대 방범활동","2021-01-01","2021-11-31","40","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","사회서비스형","열화상감시지원사업","서부터미널 열화상감시지원","2021-01-01","2021-11-31","39","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동(지역상생)","실버배식도우미","학생 식사 배식 및 주변 정돈","2021-01-01","2021-11-31","18","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동(지역상생)","스쿨존안전지킴이사업단","교직원,학생 체온측정 및 방역","2021-01-01","2021-11-31","50","051-302-2210","2020-12-31"
"학장종합사회복지관","부산광역시 사상구","공익활동","불법주차예방 및 금주, 금연홍보단","불법주차 근절 및 금주, 금연 홍보","2021-01-01","2021-11-31","30","051-311-4017","2020-12-31"
"(사)대한노인회 사상구지회","부산광역시 사상구","공익활동","노노케어(연중)","독거노인 안부확인","2021-01-01","2021-11-31","326","051-305-3679","2020-12-31"
"(사)대한노인회 사상구지회","부산광역시 사상구","공익활동","경로당소통도우미","경로당 환경정비 순찰","2021-01-01","2021-11-31","134","051-305-3679","2020-12-31"
"(사)대한노인회 사상구지회","부산광역시 사상구","공익활동","행복마을가꿈","관내 환경정비 사업","2021-01-01","2021-11-31","50","051-305-3679","2020-12-31"
"(사)대한노인회 사상구지회","부산광역시 사상구","공익활동","실버강사파견","경로당 노인교실 강사활동","2021-01-01","2021-11-31","30","051-305-3679","2020-12-31"
"(사)대한노인회 사상구지회","부산광역시 사상구","사회서비스형","노인맞춤돌봄서비스지원사업","노인맞춤돌봄서비스 지원","2021-01-01","2021-11-31","0","051-305-3679","2020-12-31"
"사상구종합사회복지관","부산광역시 사상구","공익활동","지하철지킴이","사상역 지하철역 승하차 계도","2021-01-01","2021-11-31","144","051-314-8948","2020-12-31"
"사상구종합사회복지관","부산광역시 사상구","공익활동","지역아동센터 봉사","지역아동센터 업무 지원","2021-01-01","2021-11-31","60","051-314-8948","2020-12-31"
"사상구종합사회복지관","부산광역시 사상구","공익활동","민원안내도우미","관공서(세무서) 안내 도우미","2021-01-01","2021-11-31","12","051-314-8948","2020-12-31"
"사상구종합사회복지관","부산광역시 사상구","공익활동","재가노인가정봉사단","재가센터 업무 지원","2021-01-01","2021-11-31","76","051-314-8948","2020-12-31"
"사상구종합사회복지관","부산광역시 사상구","공익활동","프로그램보조사업단","프로그램보조","2021-01-01","2021-11-31","12","051-314-8948","2020-12-31"
"사상시니어클럽","부산광역시 사상구","시장형","박스포장사업","박스포장","2021-01-01","2021-11-31","55","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","시장형","부품제조사업","부품조립","2021-01-01","2021-11-31","60","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","시장형","할매손 김밥사업","김밥사업","2021-01-01","2021-11-31","16","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","공익활동","스쿨존활동지원사업","학교앞 교통지도 사업","2021-01-01","2021-11-31","180","051-302-2210","2020-12-31"
"사상시니어클럽","부산광역시 사상구","사회서비스형","시니어컨설턴트","시니어취업상담","2021-01-01","2021-11-31","10","051-302-2210","2020-12-31"
"북구시니어클럽","부산광역시 북구","사회서비스형","도서관 사서도우미","북구 도서관 도서정리","2021-01-01","2021-12-31","50","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","사회서비스형","시니어 북 딜리버리","구포 만덕 디지털도서관 도서책 배달","2021-01-01","2021-12-31","20","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","사회서비스형","반짝반짝돌보미","보육교사 보조업무, 생활지도 및 급식지원, 시설 환경정비","2021-01-01","2021-12-31","80","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","시장형","(부울경)소방안전지킴이","소방안전기구 실태조사 및 설치(화재경보기,소화기)","2021-01-01","2021-12-31","20","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","시장형","모니터링(가칭)","노인일자리 참여자 모니터링","2021-01-01","2021-12-31","60","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","시장형","공기정화식물 관리사업(가칭)","학교 및 복지서설 공기정화식물 지원 및 관리","2021-01-01","2021-12-31","30","051-337-9331","2020-12-31"
"만덕종합사회복지관","부산광역시 북구","공익활동","재래시장지킴이","재래시장 내 거리질서 계도, 시장주변 정리정돈 등","2021-01-01","2021-12-31","30","051-332-8004","2020-12-31"
"만덕종합사회복지관","부산광역시 북구","공익활동","실버EM활용팀","지역주민 대상 EM활용법 홍보 교육 실시","2021-01-01","2021-12-31","8","051-332-8004","2020-12-31"
"만덕종합사회복지관","부산광역시 북구","공익활동","복지시설도우미","지역내 사회복지관 등 환경미화 활동","2021-01-01","2021-12-31","18","051-332-8004","2020-12-31"
"만덕종합사회복지관","부산광역시 북구","공익활동","보육시설도우미","장난감 세척 및 정리 등","2021-01-01","2021-12-31","58","051-332-8004","2020-12-31"
"만덕종합사회복지관","부산광역시 북구","공익활동","교육시설도우미","학교 주변 및 화단 관리 지원 등","2021-01-01","2021-12-31","54","051-332-8004","2020-12-31"
"만덕종합사회복지관","부산광역시 북구","공익활동","공공시설도우미","문화빙상센터, 꽃박물관 등 환경미화 활동","2021-01-01","2021-12-31","26","051-332-8004","2020-12-31"
"만덕종합사회복지관","부산광역시 북구","공익활동","환경지킴이","만덕부근 불결지 환경정비","2021-01-01","2021-12-31","60","051-332-8004","2020-12-31"
"만덕종합사회복지관","부산광역시 북구","사회서비스형","노인서비스지원팀","노인 관련 시설 지원 및 시니어 안전 모니터링","2021-01-01","2021-12-31","12","051-332-8004","2020-12-31"
"만덕종합사회복지관","부산광역시 북구","사회서비스형","아동서비스지원팀","보육시설, 초중등 교육시설 지원","2021-01-01","2021-12-31","8","051-332-8004","2020-12-31"
"북구시니어클럽","부산광역시 북구","공익활동","박물관 도슨트","박물관에 오는 이용객 안내 및 설명보조","2021-01-01","2021-12-31","20","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","공익활동","노노케어","취약노인 가구 방문 후 말벗 및 안부확인","2021-01-01","2021-12-31","50","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","공익활동","척척클린업","공원 내 쓰레기 줄이기 및 환경보호","2021-01-01","2021-12-31","160","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","공익활동","시니어학교깔끔지킴이","학교 내 쓰레기 분리수거 홍보활동","2021-01-01","2021-12-31","160","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","공익활동","시니어학교환경지킴이","학교 내 청결유지를 위한 운동장 정리 및 교내 청소","2021-01-01","2021-12-31","160","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","공익활동","알콩달콩 모니터링","북구 관내 공원관리 활동 모니터링","2021-01-01","2021-12-31","16","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","공익활동","올망졸망","교육시설 교보재, 놀이도구 살균소독 지원","2021-01-01","2021-12-31","74","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","공익활동","튼튼도우미","지역아동센터, 노인, 장애인 등 복지시설 관리지원","2021-01-01","2021-12-31","50","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","사회서비스형","펭수안전지킴이","학교 등학교 시간대 교통정리","2021-01-01","2021-12-31","90","051-337-9331","2020-12-31"
"동원종합사회복지관","부산광역시 북구","공익활동","고독사예방지킴이","고독사 위험 가구 방문 후 말벗 및 안부확인","2021-01-01","2021-12-31","50","051-361-0045","2020-12-31"
"동원종합사회복지관","부산광역시 북구","공익활동","학교 급식 도우미","학교내 급식 도우미","2021-01-01","2021-12-31","10","051-361-0045","2020-12-31"
"동원종합사회복지관","부산광역시 북구","공익활동","노노케어","취약노인 가구 방문 후 말벗 및 안부확인","2021-01-01","2021-12-31","40","051-361-0045","2020-12-31"
